url;title;url_author;author;url_oeuvre;title_oeuvre;rating tags;warning tags;category tags;fandom tags;relationship tags;character tags;freeform tags;language;published;status;words;chapters;comments;kudos;bookmarks;hits
['/works/29494620'];"[""don't leave me tongue-tied""]";[['/users/dawnshine/pseuds/dawnshine', '/users/bitsori/gifts']];[['dawnshine', 'bitsori']];/tags/Stray%20Kids%20(Band)/works;Stray Kids (Band);['Explicit'];['No Archive Warnings Apply'];['M/M'];['Stray Kids (Band)'];['Han Jisung | Han/Lee Minho | Lee Know'];['Han Jisung | Han', 'Lee Minho | Lee Know', 'Kim Seungmin', 'Seo Changbin', 'Yang Jeongin | I.N', 'Shin Ryujin'];"['Alternate Universe - College/University', 'Friends to Lovers', 'Friends With Benefits', 'idiots with benefits to lovers', 'Humor', 'Lee Minho | Lee Know is Whipped', 'Oblivious Han Jisung | Han', 'im talking dense as a brick', 'Bickering', 'Teasing', 'Porn with Feelings', 'Light Angst', 'Denial of Feelings', 'Slow Burn', 'like an emotional slow burn', 'physically not so much', 'Misunderstandings', 'Fluff', 'Switching', 'Minor Kim Seungmin/Seo Changbin', 'Перевод на русский | Translation in Russian', 'Crack', ""basically bc the concept and they're just really dumb"", 'please stop reading this fic']";['\n        English\n      '];['2021-03-02'];['2021-03-02'];['57,507'];['5/5'];['784'];['13,081'];['2,922'];['226,896']
['/works/34503049'];['Devilish'];[['/users/hanjisungie/pseuds/hanjisungie']];[['hanjisungie']];/tags/Stray%20Kids%20(Band)/works;Stray Kids (Band);['Explicit'];['Creator Chose Not To Use Archive Warnings'];['M/M'];['Stray Kids (Band)'];['Han Jisung | Han/Lee Minho | Lee Know'];['Han Jisung | Han', 'Lee Minho | Lee Know', 'Lee Felix (Stray Kids)', 'Bang Chan', 'Seo Changbin', 'Hwang Hyunjin', 'Yang Jeongin | I.N', 'Kim Seungmin'];['Alternate Universe - College/University', 'Fluff and Smut', 'Smut', 'Bad Boy Lee Minho | Lee Know', 'Threats of Violence', 'Implied/Referenced Drug Use', 'Implied/Referenced Alcohol Abuse/Alcoholism', 'Kissing Lessons', 'Oral Fixation', 'Oral Sex', 'Heavy Petting', 'Wet & Messy', 'Top Lee Minho | Lee Know', 'Bottom Han Jisung | Han', 'Pet Names', 'Angst with a Happy Ending', 'Angst and Hurt/Comfort', 'Heavy Angst', 'Lack of Communication', 'Slow Burn', 'Emotional Manipulation', 'Emotional Baggage', 'Overstimulation', 'Rimming', 'THIS IS WALL TO WALL ANGST OKAY', 'IF UR NOT DOWN WITH THE ANGST PLS KEEP SCROLLING', 'Is Minho a bit problematic? You bet', 'Unhealthy Relationships', 'borderline obsession', 'Power Imbalance'];['\n        English\n      '];['2021-10-15'];['2021-12-28'];['110,024'];['13/13'];['1,018'];['7,793'];['1,768'];['225,657']
['/works/231229'];['Turning Point'];[['/users/Bexless/pseuds/Bexless']];[['Bexless']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['Explicit'];['No Archive Warnings Apply'];;['My Chemical Romance'];['Frank Iero/Gerard Way'];;['Barebacking'];['\n        English\n      '];['2011-07-30'];;['8,899'];['1/1'];['241'];['6,629'];['292'];['111,861']
['/works/25903483'];"['""that was easy""']";[['/users/metaleaterz/pseuds/metaleaterz']];[['metaleaterz']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['Explicit'];['No Archive Warnings Apply'];['M/M'];['My Chemical Romance'];['Frank Iero/Gerard Way', 'Ray Toro/Mikey Way'];['Gerard Way', 'Mikey Way', 'Frank Iero', 'Ray Toro'];['Workplace', 'Workplace Relationship', 'they all work at staples', 'college age', 'brian is their boss', 'the staples fic', 'party city pete', 'implied pete wentz', 'Set in the 90s'];['\n        English\n      '];['2020-08-14'];['2020-11-15'];['88,050'];['14/14'];['526'];['3,472'];['856'];['100,752']
['/works/1039530'];['Filthy Lucre.'];[['/users/risky_business/pseuds/risky_business']];[['risky_business']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['Explicit'];['Graphic Depictions Of Violence', 'Rape/Non-Con'];['M/M'];['Panic! at the Disco', 'Fall Out Boy', 'The Academy Is...', 'Cobra Starship', 'Bandom'];['Ryan Ross/Brendon Urie', 'Brendon Urie/Jon Walker', 'Minor or Background Relationship(s)', 'Jon Walker/Pete Wentz', 'Brendon Urie/Dallon Weekes', 'Erin Fetherston/Gabe Saporta', 'Joe Trohman/Jon Walker'];['Ryan Ross', 'Brendon Urie', 'Jon Walker', 'William Beckett', 'Gabe Saporta', 'Joe Trohman', 'Pete Wentz', 'Zack Hall', 'Shane Morris', 'Dallon Weekes', 'Erin Fetherston', 'Patrick Stump', 'Keltie Colleen', 'Spencer Smith', 'Ian Crawford'];['Alternate Universe', 'Prostitution', 'Obsession', 'Drug Use', 'Drug Addiction', 'Drugged Sex', 'Cocaine', 'Heroin', 'Extremely Dubious Consent', 'Graphic Description', 'Rape/Non-con Elements', 'Depression', 'Implied Childhood Sexual Abuse', 'Implied/Referenced Underage Prostitution', 'Violent Sex', 'Angst', 'Blackmail', 'Ryden', 'Rewrite', 'Explicit Sexual Content', 'Explicit Language', 'Rough Sex', 'Filthy Lucre', 'Frerard', 'Drug Abuse', 'Rehabilitation', 'Violence', 'Derogatory Language', 'Implied/Referenced Cheating', 'Sexual Violence', 'Therapy', 'Suicidal Thoughts', 'Panic Attacks', 'Implied/Referenced Self-Harm', 'Antisemitism', 'Homophobic Language'];['\n        English\n      '];['2013-11-10'];['2016-01-08'];['362,593'];['63/67'];['1,027'];['2,345'];['312'];['93,764']
['/works/3185336'];['(Mama)'];[['/users/jatty/pseuds/jatty']];[['jatty']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['Mature'];['Graphic Depictions Of Violence', 'Underage Sex'];['M/M'];['My Chemical Romance'];['Frank Iero/Gerard Way'];['Mikey Way', 'Gerard Way', 'Frank Iero', 'Linda Iero', 'Jamia Nestor'];['Child Abuse', 'Emotional Manipulation', 'Mental Health Issues', 'Bullying', 'Self-Harm', 'Eventual Romance', 'Friends to Lovers', 'Psychological Trauma', 'Eventual Happy Ending'];['\n        English\n      '];['2015-01-17'];['2016-05-24'];['351,832'];['84/84'];['1,230'];['3,044'];['341'];['92,189']
['/works/56981875'];"[""Gerard Way's Kink Service""]";[['/users/LiberXI/pseuds/LiberXI']];[['LiberXI']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['Explicit'];['No Archive Warnings Apply'];['M/M'];['My Chemical Romance'];['Frank Iero/Gerard Way'];['Frank Iero', 'Gerard Way'];['Puppy Play', 'Dom/sub', 'BDSM', 'Bondage', 'Object Insertion', 'Overstimulation', 'Dirty Talk', 'Sex Work', 'Kink Negotiation', 'Friends to Lovers', 'Bullets Era (My Chemical Romance)', 'Explicit Sexual Content', 'a lot of other kinks get mentioned in passing', 'Bandom Big Bang 2024'];['\n        English\n      '];['2024-06-28'];['2024-07-23'];['68,133'];['12/12'];['934'];['3,086'];['628'];['82,690']
['/works/49891810'];['You Belong to Me I Believe'];[['/users/LiberXI/pseuds/LiberXI']];[['LiberXI']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['Mature'];['No Archive Warnings Apply'];['M/M'];['My Chemical Romance'];['Frank Iero/Gerard Way', 'Frank Iero/Ray Toro', 'Ray Toro/Gerard Way', 'Frank Iero/Ray Toro/Gerard Way'];['Frank Iero', 'Gerard Way', 'Ray Toro'];['Puppy Play', 'BDSM', 'Dom/sub', 'Polyamory', 'Age Difference', 'Sugar Daddy', 'Non-Sexual Kink', 'Kink Negotiation', 'They/Them Pronouns for Gerard Way', 'Puppy Frank Iero', 'Other Additional Tags to Be Added', 'Gags', 'Sickfic', 'Masturbation', 'Punishment', 'Impact Play', 'Spanking', 'Figging', 'Crying'];['\n        English\n      '];['2023-09-05'];['2026-01-21'];['158,926'];['18/?'];['1,849'];['2,525'];['492'];['80,813']
['/works/231228'];['During Working Hours'];[['/users/Bexless/pseuds/Bexless']];[['Bexless']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['General Audiences'];['No Archive Warnings Apply'];;['My Chemical Romance'];['Ray Toro/Mikey Way', 'Frank Iero/Gerard Way'];;['Coda'];['\n        English\n      '];['2011-07-30'];;['824'];['1/1'];['40'];['3,549'];['133'];['76,893']
['/works/54314'];['Nightswimming'];[['/users/waxjism/pseuds/waxjism']];[['waxjism']];/tags/Rock%20Music%20RPF/works;Rock Music RPF;['Not Rated'];['Underage Sex'];['M/M'];['My Chemical Romance'];['Frank Iero/Gerard Way', 'Mikey Way/Pete Wentz', 'Alicia Simmons/Mikey Way'];;['Alternate Universe - Small Town'];['\n        English\n      '];['2008-02-12'];['2008-02-12'];['140,615'];['2/2'];['97'];['1,167'];['413'];['73,138']
